Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
18827,43,0.139,1.401,0.001387,0.001943
19862,23,0.074,0.749,0.000742,0.000556
20897,28,0.09,0.912,0.000903,0.000824
21932,20,0.065,0.652,0.000645,0.00042
22967,17,0.055,0.554,0.000548,0.000304
24002,12,0.039,0.391,0.000387,0.000151
25037,8,0.026,0.261,0.000258,0.000067
26072,3,0.01,0.098,0.000097,0.000009
27107,4,0.013,0.13,0.000129,0.000017
28142,4,0.013,0.13,0.000129,0.000017
29177,4,0.013,0.13,0.000129,0.000017
30212,4,0.013,0.13,0.000129,0.000017
31253,3,0.01,0.098,0.000097,0.000009
32288,3,0.01,0.098,0.000097,0.000009
33323,4,0.013,0.13,0.000129,0.000017
34358,4,0.013,0.13,0.000129,0.000017
35393,5,0.016,0.163,0.000161,0.000026
36428,5,0.016,0.163,0.000161,0.000026
37463,16,0.052,0.521,0.000516,0.000269
38498,4,0.013,0.13,0.000129,0.000017
39533,5,0.016,0.163,0.000161,0.000026
40568,33,0.106,1.075,0.001065,0.001145
41603,24,0.077,0.782,0.000774,0.000605
42638,21,0.068,0.684,0.000677,0.000463
43673,21,0.068,0.684,0.000677,0.000463
44715,28,0.09,0.912,0.000903,0.000824
45750,45,0.145,1.466,0.001452,0.002128
46785,76,0.245,2.476,0.002452,0.006071
47820,5,0.016,0.163,0.000161,0.000026
48855,44,0.142,1.434,0.001419,0.002035
49890,47,0.152,1.531,0.001516,0.002322
50925,73,0.235,2.378,0.002355,0.005601
51960,45,0.145,1.466,0.001452,0.002128
52995,2,0.006,0.065,0.000065,0.000004
54030,55,0.177,1.792,0.001774,0.003179
55065,15,0.048,0.489,0.000484,0.000236
56100,3,0.01,0.098,0.000097,0.000009
57135,3,0.01,0.098,0.000097,0.000009
58176,4,0.013,0.13,0.000129,0.000017
59211,4,0.013,0.13,0.000129,0.000017
60246,4,0.013,0.13,0.000129,0.000017
89,3,0.01,0.001,0.000001,0
252,5,0.016,0.002,0.000002,0
387,3,0.01,0.001,0.000001,0
522,3,0.01,0.001,0.000001,0
657,4,0.013,0.001,0.000001,0
792,5,0.016,0.002,0.000002,0
927,4,0.013,0.001,0.000001,0
1062,4,0.013,0.001,0.000001,0
1197,2,0.006,0.001,0.000001,0
1332,5,0.016,0.002,0.000002,0
1473,3,0.01,0.001,0.000001,0
1608,5,0.016,0.002,0.000002,0
1743,4,0.013,0.001,0.000001,0
1878,3,0.01,0.001,0.000001,0
2013,4,0.013,0.001,0.000001,0
2148,4,0.013,0.001,0.000001,0
2283,4,0.013,0.001,0.000001,0
2462,5,0.016,0.002,0.000002,0
2597,4,0.013,0.001,0.000001,0
2732,4,0.013,0.001,0.000001,0
2867,3,0.01,0.001,0.000001,0
3002,4,0.013,0.001,0.000001,0
3137,4,0.013,0.001,0.000001,0
3272,4,0.013,0.001,0.000001,0
3413,3,0.01,0.001,0.000001,0
3548,4,0.013,0.001,0.000001,0
3683,4,0.013,0.001,0.000001,0
3818,2,0.006,0.001,0.000001,0
3953,4,0.013,0.001,0.000001,0
4088,4,0.013,0.001,0.000001,0
4223,4,0.013,0.001,0.000001,0
4358,4,0.013,0.001,0.000001,0
4493,4,0.013,0.001,0.000001,0
4628,3,0.01,0.001,0.000001,0
4763,4,0.013,0.001,0.000001,0
4898,4,0.013,0.001,0.000001,0
5033,3,0.01,0.001,0.000001,0
5174,3,0.01,0.001,0.000001,0
5309,4,0.013,0.001,0.000001,0
5444,3,0.01,0.001,0.000001,0
5579,4,0.013,0.001,0.000001,0
5714,3,0.01,0.001,0.000001,0
5849,4,0.013,0.001,0.000001,0
5984,4,0.013,0.001,0.000001,0
6119,4,0.013,0.001,0.000001,0
6254,5,0.016,0.002,0.000002,0
6389,4,0.013,0.001,0.000001,0
6524,2,0.006,0.001,0.000001,0
6659,4,0.013,0.001,0.000001,0
6794,2,0.006,0.001,0.000001,0
6929,4,0.013,0.001,0.000001,0
7070,4,0.013,0.001,0.000001,0
7205,3,0.01,0.001,0.000001,0
7340,6,0.019,0.002,0.000002,0
7475,4,0.013,0.001,0.000001,0
7610,2,0.006,0.001,0.000001,0
7745,4,0.013,0.001,0.000001,0
7880,3,0.01,0.001,0.000001,0
8015,4,0.013,0.001,0.000001,0
8150,2,0.006,0.001,0.000001,0
8285,4,0.013,0.001,0.000001,0
8420,4,0.013,0.001,0.000001,0
8555,3,0.01,0.001,0.000001,0
8690,3,0.01,0.001,0.000001,0
8832,3,0.01,0.001,0.000001,0
8967,4,0.013,0.001,0.000001,0
9102,4,0.013,0.001,0.000001,0
9237,3,0.01,0.001,0.000001,0
9372,4,0.013,0.001,0.000001,0
9507,2,0.006,0.001,0.000001,0
9642,4,0.013,0.001,0.000001,0
9777,4,0.013,0.001,0.000001,0
9912,4,0.013,0.001,0.000001,0
10047,4,0.013,0.001,0.000001,0
10182,3,0.01,0.001,0.000001,0
10317,3,0.01,0.001,0.000001,0
10452,4,0.013,0.001,0.000001,0
10593,6,0.019,0.002,0.000002,0
10728,4,0.013,0.001,0.000001,0
10863,4,0.013,0.001,0.000001,0
10998,4,0.013,0.001,0.000001,0
11133,3,0.01,0.001,0.000001,0
11268,4,0.013,0.001,0.000001,0
11403,1,0.003,0,0,0
11538,4,0.013,0.001,0.000001,0
11673,4,0.013,0.001,0.000001,0
11808,3,0.01,0.001,0.000001,0
11943,2,0.006,0.001,0.000001,0
12078,2,0.006,0.001,0.000001,0
12213,3,0.01,0.001,0.000001,0
12348,4,0.013,0.001,0.000001,0
12489,4,0.013,0.001,0.000001,0
12624,4,0.013,0.001,0.000001,0
12759,4,0.013,0.001,0.000001,0
12894,4,0.013,0.001,0.000001,0
13029,4,0.013,0.001,0.000001,0
13164,0,0,0,0,0
13299,4,0.013,0.001,0.000001,0
13434,3,0.01,0.001,0.000001,0
13569,4,0.013,0.001,0.000001,0
13704,4,0.013,0.001,0.000001,0
13839,4,0.013,0.001,0.000001,0
13974,4,0.013,0.001,0.000001,0
14109,2,0.006,0.001,0.000001,0
14250,4,0.013,0.001,0.000001,0
14429,4,0.013,0.001,0.000001,0
14564,5,0.016,0.002,0.000002,0
14699,4,0.013,0.001,0.000001,0
14834,4,0.013,0.001,0.000001,0
14969,6,0.019,0.002,0.000002,0
15104,2,0.006,0.001,0.000001,0
15239,3,0.01,0.001,0.000001,0
15374,4,0.013,0.001,0.000001,0
15509,3,0.01,0.001,0.000001,0
15644,4,0.013,0.001,0.000001,0
15779,4,0.013,0.001,0.000001,0
15914,4,0.013,0.001,0.000001,0
16055,3,0.01,0.001,0.000001,0
16190,4,0.013,0.001,0.000001,0
16325,5,0.016,0.002,0.000002,0
16460,3,0.01,0.001,0.000001,0
16602,3,0.01,0.001,0.000001,0
16737,2,0.006,0.001,0.000001,0
16872,4,0.013,0.001,0.000001,0
17007,5,0.016,0.002,0.000002,0
17142,2,0.006,0.001,0.000001,0
17277,5,0.016,0.002,0.000002,0
17412,4,0.013,0.001,0.000001,0
17547,3,0.01,0.001,0.000001,0
17682,4,0.013,0.001,0.000001,0
17823,5,0.016,0.002,0.000002,0
17958,4,0.013,0.001,0.000001,0
18093,4,0.013,0.001,0.000001,0
18228,4,0.013,0.001,0.000001,0
18363,4,0.013,0.001,0.000001,0
18498,4,0.013,0.001,0.000001,0
18633,3,0.01,0.001,0.000001,0
18768,4,0.013,0.001,0.000001,0
18903,2,0.006,0.001,0.000001,0
19038,3,0.01,0.001,0.000001,0
19173,4,0.013,0.001,0.000001,0
19308,3,0.01,0.001,0.000001,0
19443,4,0.013,0.001,0.000001,0
19584,4,0.013,0.001,0.000001,0
19719,4,0.013,0.001,0.000001,0
19854,3,0.01,0.001,0.000001,0
19989,4,0.013,0.001,0.000001,0
20124,5,0.016,0.002,0.000002,0
20259,4,0.013,0.001,0.000001,0
20394,3,0.01,0.001,0.000001,0
20529,3,0.01,0.001,0.000001,0
20664,4,0.013,0.001,0.000001,0
20799,4,0.013,0.001,0.000001,0
20934,2,0.006,0.001,0.000001,0
21069,4,0.013,0.001,0.000001,0
21204,4,0.013,0.001,0.000001,0
21345,4,0.013,0.001,0.000001,0
21480,4,0.013,0.001,0.000001,0
21615,5,0.016,0.002,0.000002,0
21750,5,0.016,0.002,0.000002,0
21885,4,0.013,0.001,0.000001,0
22020,3,0.01,0.001,0.000001,0
22155,4,0.013,0.001,0.000001,0
22290,4,0.013,0.001,0.000001,0
22425,4,0.013,0.001,0.000001,0
22560,4,0.013,0.001,0.000001,0
22695,4,0.013,0.001,0.000001,0
22830,4,0.013,0.001,0.000001,0
22965,4,0.013,0.001,0.000001,0
23115,1,0.003,0,0,0
23250,5,0.016,0.002,0.000002,0
23385,3,0.01,0.001,0.000001,0
23520,4,0.013,0.001,0.000001,0
23655,6,0.019,0.002,0.000002,0
23790,4,0.013,0.001,0.000001,0
23925,3,0.01,0.001,0.000001,0
24060,3,0.01,0.001,0.000001,0
24195,2,0.006,0.001,0.000001,0
24330,3,0.01,0.001,0.000001,0
24465,3,0.01,0.001,0.000001,0
24600,4,0.013,0.001,0.000001,0
24735,1,0.003,0,0,0
24878,1,0.003,0,0,0
25013,4,0.013,0.001,0.000001,0
25148,4,0.013,0.001,0.000001,0
25283,3,0.01,0.001,0.000001,0
25418,3,0.01,0.001,0.000001,0
25553,0,0,0,0,0
25688,3,0.01,0.001,0.000001,0
25823,4,0.013,0.001,0.000001,0
25958,4,0.013,0.001,0.000001,0
26093,4,0.013,0.001,0.000001,0
26228,3,0.01,0.001,0.000001,0
26363,4,0.013,0.001,0.000001,0
26542,4,0.013,0.001,0.000001,0
26677,4,0.013,0.001,0.000001,0
26821,4,0.013,0.001,0.000001,0
26956,5,0.016,0.002,0.000002,0
27091,5,0.016,0.002,0.000002,0
27226,4,0.013,0.001,0.000001,0
27361,4,0.013,0.001,0.000001,0
27496,4,0.013,0.001,0.000001,0
27631,3,0.01,0.001,0.000001,0
27766,4,0.013,0.001,0.000001,0
27901,4,0.013,0.001,0.000001,0
28036,4,0.013,0.001,0.000001,0
28171,5,0.016,0.002,0.000002,0
28306,4,0.013,0.001,0.000001,0
28441,4,0.013,0.001,0.000001,0
28585,4,0.013,0.001,0.000001,0
28720,3,0.01,0.001,0.000001,0
28855,2,0.006,0.001,0.000001,0
28990,4,0.013,0.001,0.000001,0
29125,4,0.013,0.001,0.000001,0
29260,4,0.013,0.001,0.000001,0
29395,4,0.013,0.001,0.000001,0
29530,5,0.016,0.002,0.000002,0
29665,4,0.013,0.001,0.000001,0
29800,4,0.013,0.001,0.000001,0
29935,4,0.013,0.001,0.000001,0
30070,4,0.013,0.001,0.000001,0
30205,4,0.013,0.001,0.000001,0
30349,4,0.013,0.001,0.000001,0
30484,4,0.013,0.001,0.000001,0
30619,3,0.01,0.001,0.000001,0
30754,4,0.013,0.001,0.000001,0
30889,1,0.003,0,0,0
31024,3,0.01,0.001,0.000001,0
31159,4,0.013,0.001,0.000001,0
31294,5,0.016,0.002,0.000002,0
31429,2,0.006,0.001,0.000001,0
31564,4,0.013,0.001,0.000001,0
31699,4,0.013,0.001,0.000001,0
31834,3,0.01,0.001,0.000001,0
31969,1,0.003,0,0,0
32112,3,0.01,0.001,0.000001,0
32247,1,0.003,0,0,0
32382,4,0.013,0.001,0.000001,0
32517,5,0.016,0.002,0.000002,0
32652,4,0.013,0.001,0.000001,0
32787,4,0.013,0.001,0.000001,0
32922,4,0.013,0.001,0.000001,0
33064,4,0.013,0.001,0.000001,0
33199,3,0.01,0.001,0.000001,0
33334,5,0.016,0.002,0.000002,0
33469,4,0.013,0.001,0.000001,0
33604,3,0.01,0.001,0.000001,0
33739,3,0.01,0.001,0.000001,0
33886,4,0.013,0.001,0.000001,0
34021,4,0.013,0.001,0.000001,0
34156,2,0.006,0.001,0.000001,0
34291,4,0.013,0.001,0.000001,0
34426,3,0.01,0.001,0.000001,0
34561,4,0.013,0.001,0.000001,0
34696,4,0.013,0.001,0.000001,0
34831,4,0.013,0.001,0.000001,0
34966,4,0.013,0.001,0.000001,0
35101,4,0.013,0.001,0.000001,0
