Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
7627,3,0.01,0.001,0.000001,0
7678,4,0.013,0.001,0.000001,0
7723,4,0.013,0.001,0.000001,0
7768,4,0.013,0.001,0.000001,0
7813,3,0.01,0.001,0.000001,0
7858,4,0.013,0.001,0.000001,0
7903,3,0.01,0.001,0.000001,0
7948,4,0.013,0.001,0.000001,0
7993,3,0.01,0.001,0.000001,0
8038,6,0.019,0.002,0.000002,0
8083,4,0.013,0.001,0.000001,0
8128,5,0.016,0.002,0.000002,0
8173,3,0.01,0.001,0.000001,0
8218,2,0.006,0.001,0.000001,0
8263,4,0.013,0.001,0.000001,0
8314,4,0.013,0.001,0.000001,0
8359,2,0.006,0.001,0.000001,0
8404,4,0.013,0.001,0.000001,0
8449,5,0.016,0.002,0.000002,0
8494,3,0.01,0.001,0.000001,0
8539,4,0.013,0.001,0.000001,0
8584,3,0.01,0.001,0.000001,0
8629,4,0.013,0.001,0.000001,0
8674,3,0.01,0.001,0.000001,0
8719,4,0.013,0.001,0.000001,0
8764,3,0.01,0.001,0.000001,0
8809,1,0.003,0,0,0
8854,4,0.013,0.001,0.000001,0
8905,4,0.013,0.001,0.000001,0
8950,5,0.016,0.002,0.000002,0
8995,3,0.01,0.001,0.000001,0
9040,4,0.013,0.001,0.000001,0
9130,4,0.013,0.001,0.000001,0
9175,4,0.013,0.001,0.000001,0
9220,4,0.013,0.001,0.000001,0
9265,3,0.01,0.001,0.000001,0
9310,2,0.006,0.001,0.000001,0
9355,4,0.013,0.001,0.000001,0
9400,3,0.01,0.001,0.000001,0
9445,4,0.013,0.001,0.000001,0
9490,3,0.01,0.001,0.000001,0
9535,3,0.01,0.001,0.000001,0
9586,4,0.013,0.001,0.000001,0
9631,3,0.01,0.001,0.000001,0
9676,3,0.01,0.001,0.000001,0
9721,4,0.013,0.001,0.000001,0
9766,4,0.013,0.001,0.000001,0
9811,4,0.013,0.001,0.000001,0
9856,4,0.013,0.001,0.000001,0
9901,3,0.01,0.001,0.000001,0
9946,4,0.013,0.001,0.000001,0
9991,3,0.01,0.001,0.000001,0
10036,4,0.013,0.001,0.000001,0
10081,3,0.01,0.001,0.000001,0
10126,3,0.01,0.001,0.000001,0
10177,3,0.01,0.001,0.000001,0
10222,4,0.013,0.001,0.000001,0
10267,3,0.01,0.001,0.000001,0
10312,4,0.013,0.001,0.000001,0
10357,3,0.01,0.001,0.000001,0
10402,4,0.013,0.001,0.000001,0
10447,4,0.013,0.001,0.000001,0
10492,2,0.006,0.001,0.000001,0
10537,5,0.016,0.002,0.000002,0
10582,3,0.01,0.001,0.000001,0
10627,3,0.01,0.001,0.000001,0
10672,3,0.01,0.001,0.000001,0
10717,4,0.013,0.001,0.000001,0
10768,4,0.013,0.001,0.000001,0
10813,5,0.016,0.002,0.000002,0
10858,1,0.003,0,0,0
10903,4,0.013,0.001,0.000001,0
10948,4,0.013,0.001,0.000001,0
10993,2,0.006,0.001,0.000001,0
11038,4,0.013,0.001,0.000001,0
11083,4,0.013,0.001,0.000001,0
11128,4,0.013,0.001,0.000001,0
11173,4,0.013,0.001,0.000001,0
11218,3,0.01,0.001,0.000001,0
11263,3,0.01,0.001,0.000001,0
11308,2,0.006,0.001,0.000001,0
11367,4,0.013,0.001,0.000001,0
11412,5,0.016,0.002,0.000002,0
11457,4,0.013,0.001,0.000001,0
11502,4,0.013,0.001,0.000001,0
11547,4,0.013,0.001,0.000001,0
11592,4,0.013,0.001,0.000001,0
11637,4,0.013,0.001,0.000001,0
11682,3,0.01,0.001,0.000001,0
11727,2,0.006,0.001,0.000001,0
11772,2,0.006,0.001,0.000001,0
11817,5,0.016,0.002,0.000002,0
11862,4,0.013,0.001,0.000001,0
11907,4,0.013,0.001,0.000001,0
11959,4,0.013,0.001,0.000001,0
12004,2,0.006,0.001,0.000001,0
12049,4,0.013,0.001,0.000001,0
12094,5,0.016,0.002,0.000002,0
12139,5,0.016,0.002,0.000002,0
12184,2,0.006,0.001,0.000001,0
12229,5,0.016,0.002,0.000002,0
12274,4,0.013,0.001,0.000001,0
12319,2,0.006,0.001,0.000001,0
12364,4,0.013,0.001,0.000001,0
12409,5,0.016,0.002,0.000002,0
12454,3,0.01,0.001,0.000001,0
12499,4,0.013,0.001,0.000001,0
12544,4,0.013,0.001,0.000001,0
12584,4,0.013,0.001,0.000001,0
12629,4,0.013,0.001,0.000001,0
12674,4,0.013,0.001,0.000001,0
12719,4,0.013,0.001,0.000001,0
12764,4,0.013,0.001,0.000001,0
12809,3,0.01,0.001,0.000001,0
12854,4,0.013,0.001,0.000001,0
12899,4,0.013,0.001,0.000001,0
12944,2,0.006,0.001,0.000001,0
12989,5,0.016,0.002,0.000002,0
13034,2,0.006,0.001,0.000001,0
13079,4,0.013,0.001,0.000001,0
13168,4,0.013,0.001,0.000001,0
13219,4,0.013,0.001,0.000001,0
13264,4,0.013,0.001,0.000001,0
13309,4,0.013,0.001,0.000001,0
13354,2,0.006,0.001,0.000001,0
13399,4,0.013,0.001,0.000001,0
13444,3,0.01,0.001,0.000001,0
13489,2,0.006,0.001,0.000001,0
13534,3,0.01,0.001,0.000001,0
13579,4,0.013,0.001,0.000001,0
13624,2,0.006,0.001,0.000001,0
13669,3,0.01,0.001,0.000001,0
13714,2,0.006,0.001,0.000001,0
13759,3,0.01,0.001,0.000001,0
13810,3,0.01,0.001,0.000001,0
13855,4,0.013,0.001,0.000001,0
13900,2,0.006,0.001,0.000001,0
13945,3,0.01,0.001,0.000001,0
13990,5,0.016,0.002,0.000002,0
14035,4,0.013,0.001,0.000001,0
14080,4,0.013,0.001,0.000001,0
14125,4,0.013,0.001,0.000001,0
14170,3,0.01,0.001,0.000001,0
14215,3,0.01,0.001,0.000001,0
14260,3,0.01,0.001,0.000001,0
14305,2,0.006,0.001,0.000001,0
14350,4,0.013,0.001,0.000001,0
14401,2,0.006,0.001,0.000001,0
14446,3,0.01,0.001,0.000001,0
14491,4,0.013,0.001,0.000001,0
14536,4,0.013,0.001,0.000001,0
14581,4,0.013,0.001,0.000001,0
14626,4,0.013,0.001,0.000001,0
14671,4,0.013,0.001,0.000001,0
14716,3,0.01,0.001,0.000001,0
14761,5,0.016,0.002,0.000002,0
14806,2,0.006,0.001,0.000001,0
14851,3,0.01,0.001,0.000001,0
14896,4,0.013,0.001,0.000001,0
14941,4,0.013,0.001,0.000001,0
14992,4,0.013,0.001,0.000001,0
15037,5,0.016,0.002,0.000002,0
15082,5,0.016,0.002,0.000002,0
15127,4,0.013,0.001,0.000001,0
15172,3,0.01,0.001,0.000001,0
15217,3,0.01,0.001,0.000001,0
15262,4,0.013,0.001,0.000001,0
15307,4,0.013,0.001,0.000001,0
15352,5,0.016,0.002,0.000002,0
15397,4,0.013,0.001,0.000001,0
15442,4,0.013,0.001,0.000001,0
15487,4,0.013,0.001,0.000001,0
15532,4,0.013,0.001,0.000001,0
15583,3,0.01,0.001,0.000001,0
15628,2,0.006,0.001,0.000001,0
15673,4,0.013,0.001,0.000001,0
15718,4,0.013,0.001,0.000001,0
15763,4,0.013,0.001,0.000001,0
15808,4,0.013,0.001,0.000001,0
15853,4,0.013,0.001,0.000001,0
15898,4,0.013,0.001,0.000001,0
15943,3,0.01,0.001,0.000001,0
15988,3,0.01,0.001,0.000001,0
16033,4,0.013,0.001,0.000001,0
16078,5,0.016,0.002,0.000002,0
16123,3,0.01,0.001,0.000001,0
16174,4,0.013,0.001,0.000001,0
16219,4,0.013,0.001,0.000001,0
16264,5,0.016,0.002,0.000002,0
16309,3,0.01,0.001,0.000001,0
16354,4,0.013,0.001,0.000001,0
16399,4,0.013,0.001,0.000001,0
16444,3,0.01,0.001,0.000001,0
16489,3,0.01,0.001,0.000001,0
16534,4,0.013,0.001,0.000001,0
16579,3,0.01,0.001,0.000001,0
16624,3,0.01,0.001,0.000001,0
16669,4,0.013,0.001,0.000001,0
16714,3,0.01,0.001,0.000001,0
16765,3,0.01,0.001,0.000001,0
16810,4,0.013,0.001,0.000001,0
16855,5,0.016,0.002,0.000002,0
16907,4,0.013,0.001,0.000001,0
16952,0,0,0,0,0
16997,4,0.013,0.001,0.000001,0
17042,5,0.016,0.002,0.000002,0
17087,3,0.01,0.001,0.000001,0
17132,4,0.013,0.001,0.000001,0
